cisp;mes;ano;pop
72;4;2003;317498,76
73;4;2003;153627,69
74;4;2003;200875,04
75;4;2003;247792,79
76;4;2003;73179,47
77;4;2003;138764,58
78;4;2003;120625,64
79;4;2003;69772,45
81;4;2003;64679,39
82;4;2003;88307,40
88;4;2003;90187,46
89;4;2003;108537,37
90;4;2003;172667,05
91;4;2003;67787,66
92;4;2003;7872,06
93;4;2003;246296,49
94;4;2003;43526,70
95;4;2003;32239,28
96;4;2003;49419,39
97;4;2003;17464,38
98;4;2003;12450,40
99;4;2003;25792,82
100;4;2003;24460,66
104;4;2003;19540,98
105;4;2003;245950,31
106;4;2003;43137,17
107;4;2003;38387,45
108;4;2003;91729,01
109;4;2003;17257,45
110;4;2003;144723,02
111;4;2003;14371,64
112;4;2003;15852,03
118;4;2003;90004,51
119;4;2003;51240,13
120;4;2003;21288,07
121;4;2003;25208,77
122;4;2003;19421,79
123;4;2003;174819,74
124;4;2003;57740,29
125;4;2003;69243,75
126;4;2003;165906,15
127;4;2003;20415,38
128;4;2003;49011,90
129;4;2003;16923,41
134;4;2003;267332,74
135;4;2003;22974,35
136;4;2003;47775,71
137;4;2003;27003,05
138;4;2003;7790,71
139;4;2003;16430,66
140;4;2003;23383,58
141;4;2003;36994,88
142;4;2003;14713,01
143;4;2003;121310,14
144;4;2003;34129,34
145;4;2003;28993,97
146;4;2003;195755,33
151;4;2003;175760,09
152;4;2003;10494,70
153;4;2003;19833,62
154;4;2003;24076,13
155;4;2003;8534,88
156;4;2003;10433,15
157;4;2003;10106,43
158;4;2003;23359,90
159;4;2003;50057,71
165;4;2003;27667,05
166;4;2003;131413,60
167;4;2003;31560,22
168;4;2003;16549,02
1;5;2003;1549,16
4;5;2003;29866,22
5;5;2003;35747,72
6;5;2003;76465,54
7;5;2003;38757,43
9;5;2003;129260,57
10;5;2003;97765,77
12;5;2003;86864,29
13;5;2003;65785,59
14;5;2003;84082,39
15;5;2003;140482,66
16;5;2003;288270,58
17;5;2003;76048,89
18;5;2003;64130,56
19;5;2003;131963,52
20;5;2003;155361,18
21;5;2003;252140,16
22;5;2003;227062,31
23;5;2003;87355,27
24;5;2003;91864,94
25;5;2003;123058,58
26;5;2003;110259,71
27;5;2003;179905,38
28;5;2003;163097,32
29;5;2003;99221,33
30;5;2003;119141,74
31;5;2003;149929,11
32;5;2003;349488,31
33;5;2003;230129,70
34;5;2003;405354,46
35;5;2003;552459,10
36;5;2003;295429,05
37;5;2003;201310,22
38;5;2003;197714,44
39;5;2003;167043,52
40;5;2003;105668,11
41;5;2003;135494,75
44;5;2003;112329,88
48;5;2003;68697,05
50;5;2003;88938,07
51;5;2003;42261,13
52;5;2003;173574,44
53;5;2003;168135,85
54;5;2003;444088,98
55;5;2003;212904,09
56;5;2003;258286,55
57;5;2003;154755,37
58;5;2003;341785,53
59;5;2003;329251,30
60;5;2003;264510,26
61;5;2003;56406,74
62;5;2003;147084,07
64;5;2003;452063,64
65;5;2003;122371,31
66;5;2003;130728,79
71;5;2003;222990,69
72;5;2003;317804,80
73;5;2003;153775,77
74;5;2003;201068,67
75;5;2003;248031,64
76;5;2003;73215,79
77;5;2003;138833,46
78;5;2003;120685,51
79;5;2003;69807,08
81;5;2003;64711,49
82;5;2003;88690,45
88;5;2003;90239,12
89;5;2003;108661,14
90;5;2003;172725,46
91;5;2003;67833,13
92;5;2003;7879,70
93;5;2003;246426,20
94;5;2003;43586,82
95;5;2003;32263,55
96;5;2003;49437,30
97;5;2003;17469,72
98;5;2003;12459,21
99;5;2003;25825,61
100;5;2003;24512,56
104;5;2003;19549,02
105;5;2003;246016,44
106;5;2003;43148,77
107;5;2003;38417,56
108;5;2003;91788,34
109;5;2003;17260,50
110;5;2003;144930,39
111;5;2003;14377,62
112;5;2003;15869,49
118;5;2003;90234,56
119;5;2003;51288,00
120;5;2003;21288,77
121;5;2003;25309,26
122;5;2003;19441,60
123;5;2003;175474,77
124;5;2003;57910,26
125;5;2003;69436,86
126;5;2003;166396,74
127;5;2003;20487,42
128;5;2003;49471,01
129;5;2003;16983,17
134;5;2003;267625,42
135;5;2003;22973,49
136;5;2003;47808,71
137;5;2003;27001,21
138;5;2003;7787,16
139;5;2003;16445,44
140;5;2003;23396,15
141;5;2003;37001,14
142;5;2003;14714,32
143;5;2003;121401,39
144;5;2003;34143,84
145;5;2003;29034,91
146;5;2003;195925,95
151;5;2003;175831,67
152;5;2003;10499,61
153;5;2003;19833,58
154;5;2003;24094,27
155;5;2003;8538,95
156;5;2003;10431,86
157;5;2003;10108,51
158;5;2003;23381,80
159;5;2003;50104,52
165;5;2003;27756,64
166;5;2003;131805,63
167;5;2003;31623,92
168;5;2003;16558,87
1;6;2003;1550,14
4;6;2003;29885,21
5;6;2003;35770,44
6;6;2003;76514,15
7;6;2003;38782,07
9;6;2003;129342,74
10;6;2003;97827,93
12;6;2003;86919,51
13;6;2003;65827,41
14;6;2003;84135,85
15;6;2003;140571,97
16;6;2003;288453,84
17;6;2003;76097,23
18;6;2003;64171,33
19;6;2003;132047,41
20;6;2003;155459,94
21;6;2003;252300,46
22;6;2003;227206,66
23;6;2003;87410,80
24;6;2003;91923,34
25;6;2003;123136,81
26;6;2003;110329,80
27;6;2003;180019,75
28;6;2003;163201,01
29;6;2003;99284,41
30;6;2003;119217,48
31;6;2003;150024,43
32;6;2003;349710,49
33;6;2003;230276,00
34;6;2003;405612,16
35;6;2003;541434,94
36;6;2003;295616,86
37;6;2003;201438,20
38;6;2003;197840,13
39;6;2003;167149,72
40;6;2003;105735,29
41;6;2003;135580,89
44;6;2003;112401,29
48;6;2003;68801,44
50;6;2003;89152,67
51;6;2003;42315,10
52;6;2003;173632,71
53;6;2003;168138,64
54;6;2003;444375,69
55;6;2003;213133,80
56;6;2003;258373,26
57;6;2003;154786,19
58;6;2003;341900,27
59;6;2003;329520,69
60;6;2003;264726,69
61;6;2003;56452,90
62;6;2003;147204,41
64;6;2003;452140,02
65;6;2003;122544,63
66;6;2003;130837,52
71;6;2003;223276,43
72;6;2003;318111,13
73;6;2003;153924,00
74;6;2003;201262,48
75;6;2003;248270,72
76;6;2003;73252,13
77;6;2003;138902,37
78;6;2003;120745,42
79;6;2003;69841,73
81;6;2003;64743,61
82;6;2003;89075,16
88;6;2003;90290,80
89;6;2003;108785,05
90;6;2003;172783,90
91;6;2003;67878,63
92;6;2003;7887,34
93;6;2003;246555,98
94;6;2003;43647,02
95;6;2003;32287,83
96;6;2003;49455,22
97;6;2003;17475,07
98;6;2003;12468,02
99;6;2003;25858,44
100;6;2003;24564,56
104;6;2003;19557,06
105;6;2003;246082,58
106;6;2003;43160,37
107;6;2003;38447,69
108;6;2003;91847,72
109;6;2003;17263,56
110;6;2003;145138,04
111;6;2003;14383,60
112;6;2003;15886,96
118;6;2003;90465,20
119;6;2003;51335,91
120;6;2003;21289,47
121;6;2003;25410,15
122;6;2003;19461,42
123;6;2003;176132,26
124;6;2003;58080,73
125;6;2003;69630,51
126;6;2003;166888,78
127;6;2003;20559,71
128;6;2003;49934,43
129;6;2003;17043,15
134;6;2003;267918,41
135;6;2003;22972,62
136;6;2003;47841,74
137;6;2003;26999,36
138;6;2003;7783,62
139;6;2003;16460,23
140;6;2003;23408,73
141;6;2003;37007,40
142;6;2003;14715,63
143;6;2003;121492,72
144;6;2003;34158,35
145;6;2003;29075,91
146;6;2003;196096,71
151;6;2003;175903,28
152;6;2003;10504,53
153;6;2003;19833,54
154;6;2003;24112,42
155;6;2003;8543,02
156;6;2003;10430,56
157;6;2003;10110,60
158;6;2003;23403,73
159;6;2003;50151,36
165;6;2003;27846,51
166;6;2003;132198,83
167;6;2003;31687,76
168;6;2003;16568,72
1;7;2003;1551,09
4;7;2003;29903,41
5;7;2003;35792,24
6;7;2003;76560,76
7;7;2003;38805,70
9;7;2003;129421,54
10;7;2003;97887,52
12;7;2003;86972,46
13;7;2003;65867,51
14;7;2003;84187,10
15;7;2003;140657,61
16;7;2003;288629,57
17;7;2003;76143,59
18;7;2003;64210,42
19;7;2003;132127,85
20;7;2003;155554,65
21;7;2003;252454,15
22;7;2003;227345,07
23;7;2003;87464,05
24;7;2003;91979,34
25;7;2003;123211,83
26;7;2003;110397,02
27;7;2003;180129,42
28;7;2003;163300,43
29;7;2003;99344,89
30;7;2003;119290,11
31;7;2003;150115,82
32;7;2003;349923,52
33;7;2003;230416,28
34;7;2003;405859,25
35;7;2003;513999,57
36;7;2003;295796,95
37;7;2003;201560,91
38;7;2003;197960,65
39;7;2003;167251,54
40;7;2003;105799,70
41;7;2003;135663,48
43;7;2003;166987,94
44;7;2003;112469,76
48;7;2003;68895,63
50;7;2003;89334,15
51;7;2003;42364,63
52;7;2003;173689,71
53;7;2003;168141,43
54;7;2003;444650,42
55;7;2003;213347,52
56;7;2003;258458,08
57;7;2003;154816,61
58;7;2003;342012,51
59;7;2003;329775,84
60;7;2003;264931,66
61;7;2003;56496,61
62;7;2003;147318,39
64;7;2003;452215,57
65;7;2003;122702,15
66;7;2003;130940,41
71;7;2003;223538,58
72;7;2003;318398,40
73;7;2003;154063,00
74;7;2003;201444,23
75;7;2003;248494,92
76;7;2003;73287,31
77;7;2003;138969,06
78;7;2003;120803,39
79;7;2003;69875,27
81;7;2003;64774,70
82;7;2003;89354,53
88;7;2003;90340,58
89;7;2003;108899,84
90;7;2003;172841,05
91;7;2003;67922,16
92;7;2003;7894,51
93;7;2003;246681,33
94;7;2003;43701,87
95;7;2003;32310,93
96;7;2003;49472,72
97;7;2003;17480,32
98;7;2003;12476,43
99;7;2003;25888,59
100;7;2003;24609,50
104;7;2003;19564,89
105;7;2003;246147,57
106;7;2003;43171,77
107;7;2003;38476,29
108;7;2003;91904,61
109;7;2003;17266,58
110;7;2003;145326,55
111;7;2003;14389,43
112;7;2003;15903,20
118;7;2003;90658,17
119;7;2003;51380,93
120;7;2003;21290,17
121;7;2003;25485,60
122;7;2003;19479,94
123;7;2003;176633,61
124;7;2003;58219,23
125;7;2003;69789,71
126;7;2003;167288,12
127;7;2003;20615,82
128;7;2003;50132,86
129;7;2003;17089,68
134;7;2003;268190,70
135;7;2003;22971,75
136;7;2003;47873,28
137;7;2003;26997,51
138;7;2003;7779,96
139;7;2003;16474,17
140;7;2003;23420,87
141;7;2003;37013,60
142;7;2003;14716,92
143;7;2003;121579,60
144;7;2003;34172,45
145;7;2003;29113,18
146;7;2003;196257,86
151;7;2003;175973,00
152;7;2003;10509,30
153;7;2003;19833,50
154;7;2003;24129,68
155;7;2003;8546,96
156;7;2003;10429,26
157;7;2003;10112,65
158;7;2003;23424,33
159;7;2003;50195,38
165;7;2003;27917,88
166;7;2003;132517,30
167;7;2003;31743,33
168;7;2003;16578,20
1;8;2003;1552,07
4;8;2003;29922,42
5;8;2003;35814,99
6;8;2003;76609,44
7;8;2003;38830,37
9;8;2003;129503,81
10;8;2003;97949,75
12;8;2003;87027,75
13;8;2003;65909,39
14;8;2003;84240,62
15;8;2003;140747,03
16;8;2003;288813,06
17;8;2003;76192,00
18;8;2003;64251,24
19;8;2003;132211,85
20;8;2003;155653,54
21;8;2003;252614,65
22;8;2003;227489,60
23;8;2003;87519,65
24;8;2003;92037,81
25;8;2003;123290,16
26;8;2003;110467,20
27;8;2003;180243,93
28;8;2003;163404,24
29;8;2003;99408,05
30;8;2003;119365,94
31;8;2003;150211,25
32;8;2003;350145,98
33;8;2003;230562,76
34;8;2003;406117,27
35;8;2003;514326,34
36;8;2003;295984,99
37;8;2003;201689,05
38;8;2003;198086,50
39;8;2003;167357,87
40;8;2003;105866,96
41;8;2003;135749,73
43;8;2003;167094,10
44;8;2003;112541,26
48;8;2003;69000,32
50;8;2003;89549,69
51;8;2003;42418,74
52;8;2003;173748,02
53;8;2003;168144,22
54;8;2003;444937,49
55;8;2003;206247,39
56;8;2003;258544,85
57;8;2003;154847,44
58;8;2003;342127,33
59;8;2003;330045,67
60;8;2003;265148,43
61;8;2003;56542,83
62;8;2003;147438,93
64;8;2003;452291,97
65;8;2003;122876,92
66;8;2003;131049,32
71;8;2003;223825,02
72;8;2003;318705,30
73;8;2003;154211,50
74;8;2003;201638,40
75;8;2003;248734,45
76;8;2003;73323,68
77;8;2003;139038,04
78;8;2003;120863,35
79;8;2003;69909,95
81;8;2003;64806,85
82;8;2003;89742,12
88;8;2003;90392,32
89;8;2003;109024,02
90;8;2003;172899,52
91;8;2003;67967,72
92;8;2003;7902,17
93;8;2003;246811,24
94;8;2003;42035,84
95;8;2003;32335,25
96;8;2003;49490,65
97;8;2003;17485,67
98;8;2003;12485,26
99;8;2003;25921,50
100;8;2003;24661,82
104;8;2003;19572,93
105;8;2003;246213,75
106;8;2003;43183,38
107;8;2003;38506,47
108;8;2003;91964,11
109;8;2003;17269,64
110;8;2003;145534,77
111;8;2003;14395,41
112;8;2003;15920,71
118;8;2003;90889,89
119;8;2003;51428,93
120;8;2003;21290,86
121;8;2003;25587,20
122;8;2003;19499,80
123;8;2003;177295,47
124;8;2003;58390,61
125;8;2003;69984,34
126;8;2003;167783,81
127;8;2003;20688,56
128;8;2003;50602,48
129;8;2003;17150,03
134;8;2003;268484,31
135;8;2003;22970,88
136;8;2003;47906,57
137;8;2003;26995,67
138;8;2003;7776,42
139;8;2003;16488,99
140;8;2003;23433,63
141;8;2003;37019,86
142;8;2003;14718,23
143;8;2003;121671,16
144;8;2003;34186,98
145;8;2003;29154,29
146;8;2003;192993,64
151;8;2003;176044,66
152;8;2003;10514,23
153;8;2003;19833,46
154;8;2003;24147,86
155;8;2003;8551,03
156;8;2003;10427,96
157;8;2003;10114,73
158;8;2003;23446,30
159;8;2003;50242,32
165;8;2003;28008,28
166;8;2003;132912,62
167;8;2003;31807,41
168;8;2003;16588,07
1;9;2003;1553,06
4;9;2003;29941,45
5;9;2003;35837,76
6;9;2003;76658,14
7;9;2003;38855,05
9;9;2003;129586,14
10;9;2003;98012,02
12;9;2003;87083,08
13;9;2003;65951,29
14;9;2003;84294,17
15;9;2003;140836,50
16;9;2003;288996,66
17;9;2003;76240,43
18;9;2003;64292,09
19;9;2003;132295,90
20;9;2003;155752,49
21;9;2003;252775,24
22;9;2003;227634,22
23;9;2003;87575,29
24;9;2003;92096,32
25;9;2003;123368,54
26;9;2003;110537,43
27;9;2003;180358,52
28;9;2003;163508,12
29;9;2003;99471,25
30;9;2003;119441,83
31;9;2003;150306,75
32;9;2003;350368,58
33;9;2003;230709,34
34;9;2003;406375,45
35;9;2003;514653,31
36;9;2003;296173,16
37;9;2003;201817,27
38;9;2003;198212,43
39;9;2003;167464,26
40;9;2003;105934,26
41;9;2003;135836,03
43;9;2003;167200,33
44;9;2003;112612,81
48;9;2003;69105,17
50;9;2003;89765,76
51;9;2003;42472,92
52;9;2003;173806,35
53;9;2003;168147,01
54;9;2003;445224,74
55;9;2003;199383,54
56;9;2003;258631,64
57;9;2003;154878,28
58;9;2003;342242,18
59;9;2003;330315,71
60;9;2003;265365,38
61;9;2003;56589,10
62;9;2003;147559,57
64;9;2003;452368,40
65;9;2003;123051,94
66;9;2003;131158,32
71;9;2003;224111,83
72;9;2003;319012,51
73;9;2003;154360,15
74;9;2003;201832,76
75;9;2003;248974,20
76;9;2003;73360,08
77;9;2003;139107,05
78;9;2003;120923,34
79;9;2003;69944,65
81;9;2003;64839,01
82;9;2003;90131,39
88;9;2003;90444,10
89;9;2003;109148,34
90;9;2003;172958,01
91;9;2003;68013,31
92;9;2003;7909,84
93;9;2003;246941,22
94;9;2003;40433,32
95;9;2003;32359,59
96;9;2003;49508,60
97;9;2003;17491,03
98;9;2003;12494,09
99;9;2003;25954,45
100;9;2003;24714,24
104;9;2003;19580,99
105;9;2003;246279,95
106;9;2003;43194,99
107;9;2003;38536,67
108;9;2003;92023,66
109;9;2003;17272,70
110;9;2003;145743,30
111;9;2003;14401,40
112;9;2003;15938,25
118;9;2003;91122,20
119;9;2003;51476,98
120;9;2003;21291,56
121;9;2003;25689,20
122;9;2003;19519,69
123;9;2003;177959,81
124;9;2003;58562,50
125;9;2003;70179,52
126;9;2003;168280,97
127;9;2003;20761,57
128;9;2003;51076,50
129;9;2003;17210,59
134;9;2003;268778,25
